"Book Name Name","Amazon Price","Amazon Availabilty","Flipkart Price","Flipkart Availabity","Quantity Requested","Total Amazon Price","Total Flipkart Price","Cheaper"
"THE CANDY HOUSE","₹1789","Available","₹509","Available","10","₹17890","₹5090","Flipkart"
"The Alchemist","₹330","Available","₹240","Available","5","₹1650","₹1200","Flipkart"
"The Alchemist","₹203","Available","₹246","Available","5","₹1015","₹1230","Amazon"
"The Alchemist","₹213","Available","₹222","Available","5","₹1065","₹1110","Amazon"
"The Alchemist","₹151","Available","₹129","Available","5","₹755","₹645","Flipkart"
"The Alchemist ( Unabridged Classics)","₹101","Available","₹125","Available","5","₹505","₹625","Amazon"
"2 States (Tamil)","₹311","Available","₹186","Currently unvailable","6","₹1866","₹1116","Flipkart"
"2 States","₹185","Available","₹195","Currently unvailable","6","₹1110","₹1170","Amazon"
"Five Point Someone ; What Not To Do At Iit","₹149","Available","₹220","Available","4","₹596","₹880","Amazon"
"Five Point Someone (Tamil)","₹141","Available","₹175","Available","4","₹564","₹700","Amazon"
"AllAbove Listed Books","₹3573","Amazon Book Prices for only available items are calculated","₹1866","Flipkart Book Prices for only available items are calculated","Total quantity requested:55","₹27016","₹11480","Overall Flipkart is cheaper"
